# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.0.0 Build 200 06/17/2014 SJ Web Edition
# File: /home/syso/Desktop/p8x32a_emulation/Altera/P8X32A.csv
# Generated on: Wed Oct  8 08:29:29 2014

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
clock_50,Input,PIN_H13,7A,B7A_N0,,,,,,,,,,,,,
inp_resn,Input,PIN_M16,5B,B5B_N0,,,,,,,,,,,,,
io[0],Bidir,PIN_T22,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[1],Bidir,PIN_T15,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[2],Bidir,PIN_R22,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[3],Bidir,PIN_R15,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[4],Bidir,PIN_R21,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[5],Bidir,PIN_R16,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[6],Bidir,PIN_P22,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[7],Bidir,PIN_R17,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[8],Bidir,PIN_N20,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[9],Bidir,PIN_N21,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[10],Bidir,PIN_M22,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[11],Bidir,PIN_L22,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[12],Bidir,PIN_M20,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[13],Bidir,PIN_M21,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[14],Bidir,PIN_K21,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[15],Bidir,PIN_K22,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[16],Bidir,PIN_T19,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[17],Bidir,PIN_T20,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[18],Bidir,PIN_T18,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[19],Bidir,PIN_T17,5A,B5A_N0,,,Maximum Current,,,,,,,,,,
io[20],Bidir,PIN_L19,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[21],Bidir,PIN_L18,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[22],Bidir,PIN_K17,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[23],Bidir,PIN_L17,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[24],Bidir,PIN_N19,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[25],Bidir,PIN_M18,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
io[26],Bidir,PIN_N16,5B,B5B_N0,,,Maximum Current,,,,,,,,,,
